Ciudad,cod,Longitud,Latitud,Estacion,Region
SA,RM/D14,-33.4508,-70.6604,Parque O'Higgins,RM
CEII,RM/D16,-33.4795,-70.7191,Cerrillos 1,RM
CEI,RM/D31,-33.4824,-70.7039,Cerrillos,RM
CN,RM/D18,-33.4197,-70.7318,Cerro Navia,RM
EB,RM/D17,-33.5336,-70.6659,El Bosque,RM
IN,RM/D11,-33.4089,-70.6509,Independencia,RM
LF,RM/D12,-33.5033,-70.5879,La Florida,RM
LC,RM/D13,-33.3635,-70.523,Las Condes,RM
PU,RM/D15,-33.4244,-70.7499,Pudahuel,RM
PA,RM/D27,-33.5779,-70.5942,Puente Alto,RM
QU,RM/D30,-33.3363,-70.7236,Quilicura,RM
QUI,RM/D19,-33.3525,-70.748,Quilicura 1,RM
TAL,RM/D28,-33.674,-70.953,Talagante,RM
AH,RI/117,-20.2905,-70.1002,Alto Hospicio,I
AR,RXV/F01,-18.4768,-70.2879,Arica,XV
TE,RIX/901,-38.7487,-72.6208,Las Encinas Temuco,IX
TEII,RIX/905,-38.727,-72.58,Nielol Temuco,IX
TEIII,RIX/904,-38.7253,-72.5712,Museo Ferroviario Temuco,IX
PLCI,RIX/903,-38.7725,-72.595,Padre Las Casas I,IX
PLCII,RIX/902,-38.7648,-72.5988,Padre Las Casas II,IX
LU,RXIV/E04,-40.2869,-73.0767,La Union,XIV
LR,RXIV/E06,-40.3213,-72.4719,CESFAM Lago Ranco,XIV
MAI,RXIV/E01,-39.6656,-72.9537,Mafil,XIV
MAII,RXIV/E05,-39.5423,-72.9252,Fundo La Ribera,XIV
MAIII,RXIV/E02,-39.7192,-73.1287,Vivero Los Castanos,XIV
VA,RXIV/E03,-39.8313,-73.2285,Valdivia I,XIV
VAII,RXIV/E08,-39.8054,-73.2587,Valdivia II,XIV
OS,RX/A01,-40.5845,-73.1187,Osorno,X
OSII,RX/A04,-40.6837,-72.5964,Entre Lagos,X
PMI,RX/A08,-41.3992,-72.8995,Alerce,X
PMII,RX/A07,-41.4795,-72.9688,Mirasol,X
PMIII,RX/A02,-41.5103,-73.0653,Trapen Norte,X
PMIV,RX/A03,-41.5188,-73.088,Trapen Sur,X
PV,RX/A09,-41.3289,-72.9682,Puerto Varas,X
VI,RXI/B05,-45.404,-72.6963,Vialidad,XI
COI,RXI/B03,-45.5799,-72.0611,Coyhaique I,XI
COII,RXI/B04,-45.579,-72.05,Coyhaique II,XI
PAR,RXII/C05,-53.1583,-70.9215,Punta Arenas,XII
TOCI,RII/231,-22.06,-70.187,Tres Marias,II
TOCII,RII/251,-22.086,-70.188,Super Site,II
TOCIII,RII/201,-22.09,-70.199,Gobernacion,II
TOCIV,RII/230,-22.108,-70.209,Bomberos,II
ANTI,RII/237,-23.614,-70.383,Antofagasta,II
ANTII,RII/226,-23.674,-70.407,Playa Blanca,II
ANTIII,RII/225,-23.612,-70.381,Rendic,II
ANTIV,RII/213,-23.833,-70.309,Sur,II
CALI,RII/228,-22.342,-68.651,Chiu Chiu,II
CALII,RII/233,-22.46,-68.938,Club Deportivo 23 de Marzo,II
CALIII,RII/235,-22.442,-68.933,Colegio Pedro Vergara Keller,II
CALIV,RII/236,-22.462,-68.928,Estacion Centro,II
CALV,RII/217,-22.454,-68.91,Hospital el Cobre,II
CALVI,RII/253,-22.343,-68.649,Nueva ChiuChiu,II
CALVII,RII/234,-22.464,-68.921,Oasis,II
CALVIII,RII/227,-22.461,-68.948,Servicio Medico Legal,II
CALIX,RII/219,-22.321,-68.937,Aukahuasi,II
CALX,RII/220,-22.315,-68.93,San Jose,II
CALXI,RII/218,-22.475,-68.928,Villa Caspana,II
MELI,RII/210,-22.454,-68.91,Hospital,II
MELII,RII/211,-22.345,-69.661,Iglesia,II
MEJI,RII/209,-23.102,-70.445,Jardin Infantil Integra,II
MEJII,RII/252,-23.105,-70.442,Juan Jose Latorre,II
MEJIII,RII/221,-23.1,-70.45,Compania de Bomberos,II
MEJIV,RII/207,-23.098,-70.463,Ferrocarriles,II
SGO,RII/204,-22.89,-69.319,Sierra Gorda,II
TALI,RII/216,-25.007,-70.463,Paposo,II
TALII,RII/215,-24.983,-70.461,Punto de Maximo Impacto,II
TOCI,RII/222,-22.086,-70.189,Escuela E-10,II
TOCII,RII/205,-22.094,-70.197,Centro,II
TOCIII,RII/203,-22.089,-70.195,Escuela E-12,II
TOCIV,RII/202,-22.094,-70.197,Escuela Gabriela Mistral,II
TOCV,RII/206,-22.107,-70.214,Sur,II
COPI,RIII/332,-27.37,-70.323,Copiapo Sivica,III
COPII,RIII/311,-27.36,-70.33,Copiapo,III
COPIII,RIII/315,-27.37,-70.304,Los Volcanes,III
COPIV,RIII/314,-27.411,-70.269,Paipote,III
COPV,RIII/313,-27.393,-70.299,San Fernando,III
DALI,RIII/320,-26.423,-69.507,CAP,III
DALII,RIII/321,-26.433,-69.481,Dona Ines,III
FREI,RIII/306,-28.504,-71.127,SM6,III
FREII,RIII/307,-28.498,-71.096,SM7,III
FREIII,RIII/308,-28.508,-71.081,SM8,III
HUAI,RIII/333,-28.47,-71.22,Huasco Sivica,III
HUAII,RIII/330,-28.468,-71.227,21 de Mayo,III
HUAIII,RIII/310,-28.466,-71.222,EME F,III
HUAIV,RIII/309,-28.47,-71.219,EME M,III
HUAV,RIII/324,-28.465,-71.257,EME ME,III
HUAVI,RIII/329,-28.467,-71.231,Huasco II,III
HUAVII,RIII/301,-28.501,-71.254,SM1,III
HUAVIII,RIII/302,-28.462,-71.181,SM2,III
HUAIX,RIII/303,-28.472,-71.178,SM3,III
HUAX,RIII/304,-28.481,-71.167,SM4,III
HUAXI,RIII/305,-28.484,-71.146,SM5,III
TAMI,RIII/312,-27.4755,-70.2659,Tierra Amarilla,III
TAMII,RIII/316,-27.658,-70.235,Pabellon,III
ANDI,RIV/420,-30.228,-71.086,Andacollo,IV
ANDII,RIV/411,-30.252,-71.082,Chepiquilla,IV
ANDIII,RIV/412,-30.233,-71.094,El Sauce,IV
ANDIV,RIV/414,-30.228,-71.086,Hospital,IV
ANDV,RIV/415,-30.236,-71.084,Urmeneta - Plaza Centenario,IV
COQI,RIV/426,-29.971,-71.336,Coquimbo,IV
COQII,RIV/425,-29.92,-71.256,La Serena,IV
LVI,RIV/407,-31.928,-71.137,Caimanes,IV
LVII,RIV/402,-31.819,-70.581,Chacay,IV
LVIII,RIV/406,-31.974,-71.01,El Mauro,IV
LVIV,RIV/408,-31.8873,-71.504,Punta Chungo,IV
SLMI,RIV/424,-31.889,-70.629,Cuncumen,IV
SLMII,RIV/405,-31.881,-70.955,Camisas,IV
SLMIII,RIV/404,-31.9002,-70.7767,Coiron,IV
SLMIV,RIV/401,-31.781,-70.533,Hotel Mina,IV
SLMV,RIV/409,-31.895,-70.836,Quelen Alto,IV
CALEI,RV/534,-32.847,-71.225,La Cruz. Colbun,V
CALEII,RV/517,-32.782,-71.19,La Calera,V
CALEIII,RV/518,-32.7818,-71.1867,Rural 1,V
